Source,Sector,Business Name,Email,Phone number,Address,Name,Title of Contact Person,Website
BASE DE DONNEES sans doublons.xlsx,Commerce,FTM (Mtius) Ltd.,info@ftmgroup.mu,2302860660; 2302860661; 2302860662,Janoo Lane,Mr. Sudhir Misri - Managing Director,,http://ftmgroup.mu; http://www.ftmgroup.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,GR Global Ltd.,info@grglobal.technology; reetusha@grglobal.technology,2302492253,Royal Road,Mrs. Reetusha Jugessur - Director,,http://grglobal.technology; http://www.grglobal.technology/
BASE DE DONNEES sans doublons.xlsx,Commerce,Grewals (Mauritius) Ltd.,info@grewals.mu,2302866619; 2302868649,Grewals Lane,Mr. Cedric Deweer - General Manager,,http://grewals.mu; http://www.grewals.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,H. Vaulbert de Chantilly Ltd.,jrajaratnam@hvc.mu,2302603333; 23026033333435; 2302701384,Bonair Road,Mr. Henri Vaulbert de Chantilly - Managing Director,,http://hvc.mu; http://www.hvc.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,H.A. Ramtoola & Sons Ltd.,zeid.ramtoola@har.mu,2302491735; 2306593024,North Motorway,Mr. Zeid Ramtoola - Chief Executive,,http://h.a; http://zeid.ramtoola@har.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Happy Tower Ltd.,nan,2302174781; 2302178125,nan,"Mr. Hurry Deva Kanaksabee FCCA, ACA - Chief Executive Officer",,
BASE DE DONNEES sans doublons.xlsx,Commerce,Leal Group,leal@lealgroup.mu,2302072300; 2302072400; 2302864717,Motorway M1,Mr. Eric Leal - Chief Executive Officer,,http://lealgroup.mu; http://www.lealgroup.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Li Wan Po & Co. Ltd.,admin@liwanpo-co.com,2302493665; 2302493893,Motorway M3,Mr. Henry Li Wan Po - CEO,,http://liwanpo-co.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Lim How Brothers & Co. Ltd.,saddam.lindor@lhb.co.mu,2302483576; 2302493626,nan,Mr. Jean Noël Hok Chin Lim How - Director,,http://saddam.lindor@lhb.co.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Linea Pharmaceuticals (Int) Ltd.,admin@lineapharma.com,2304641967; 230464196755; 2304668122,Suite B11,Mr. Mohammad Sajid Aboobakar - Director,,http://lineapharma.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Lising & Co. Ltd.,ac; import@lisinggroup.com; project@lisinggroup.com; sales@lisinggroup.com; showroom@lisinggroup.com,2302164865; 2302403123; 2302407567; 2302421248,P.O. Box 548,Mr. Georges Lising - Director,,http://lisinggroup.com; http://p.o
BASE DE DONNEES sans doublons.xlsx,Commerce,Litchquor Ltd.,info@litchquor.com,2302438686; 2302438727,Royal Road,Mr. Frederic Bestel - Chief Executive,,http://litchquor.com; http://www.litchquor.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Mado Parfums & Co. Ltd.,office@madoparfums.com,2302490128; 2302490288; 2492973,Royal Road,Mr. Ingar Daood - Director General,,http://madoparfums.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Mammouth Trading Co. Ltd.,info@courtsmammouth.mu,2302071200; 2302088075,Brabant Street,Mr. Andrew Cohen - Chief Execuitve Officer,,http://courtsmammouth.mu; http://www.courtsmammouth.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Maurco Ltd.,maurco@intnet.mu,2302120607; 2302122569,P.O. Box 527 - Port-Louis,Mr. Michel Halbwachs - Managing Director,,http://intnet.mu; http://p.o
BASE DE DONNEES sans doublons.xlsx,Commerce,Mauritius Sugar Syndicate,contact@mauritiussugar.mu,2302088757; 2302120814; 23021208142302120815; 2302120815,Level 7,Mr. Devesh Dukhira - Chief Executive Officer,,http://mauritiussugar.mu; http://www.mauritiussugar.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Mayflower Centre Ltd.,sachin@intnet.mu,2302081327; 2302125354,P.O. Box 651,Mrs. Ootra Devi Sonah - Managing Director,,http://intnet.mu; http://p.o; http://www.kasantra.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Mechanization Co. Ltd.,info@mecom.mu,2302084873; 2302084876,Mecom Building,Mr. Kristy Caleechurn - Managing Director,,http://mecom.mu; http://www.mecom.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Medical Eye Centre Ltd.,sgaya_gayaopticians@intnet.mu,2302118706; 2302118923,Travel House,Mr. Shyamsundur Gaya - Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Metex Trading Co. Ltd.,saloshna@intnet.mu,2302170329; 2302173147; 2302422770,Cnr. Remy Ollier & Dr Sun Yat Sen Streets,Mr. Raveesen Naidoo - Managing Director,,http://intnet.mu; http://www.metex.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Mimosa Co. Ltd.,mimosa@intnet.mu,2302081540; 2302086466; 2302124529,P.O. Box 570,Mr. J. P. Lan Yee Chiu - Managing Director,,http://intnet.mu; http://p.o
BASE DE DONNEES sans doublons.xlsx,Commerce,Motor Vehicle Dealers Association,mrinal900@gmail.com,23052591150; 52591150,c/o Toyota Mauritius,Mr. Ravi Issur - President,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,MSJ Ltd. - Unicorn,msjutc@intnet.mu; sadeck.v@unicorn.mu,2302084347; 2302108100,Industrial Zone,Mr. K. L. Gunness - Managing Director,,http://intnet.mu; http://sadeck.v@unicorn.mu; http://www.unicorn.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Neb2y Ltd.,ybhujan@neb2y.com,23058084401; 58084401,No.9,Mr. YajnBhujan - Managing Director,,http://neb2y.com; http://no.5; http://no.9; http://www.neb2y.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Nestle's Products (Mtius) Ltd.,tafadzwa.mupfurutsa1@mu.nestle.com,2304053700; 2304546168,6th Floor,Mr. Tafadzwa Mupfurutsa - Country Manager - Mauritius & Seychelles,,http://tafadzwa.mupfurutsa1@mu.nestle.com; http://www.nestle-esar.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Nextsub Ltd.,agirisenterprise@gmail.com,23052572823; 52572823,Level 12,Mr. Saleem Rashid Beebeejaun - Director,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Onsiong Bros & Co. Ltd.,onsiong@intnet.mu,2302400355; 2302421139,P.O. Box 268,Mr. Lee Meng How Onsiong - Executive Director,,http://intnet.mu; http://p.o
BASE DE DONNEES sans doublons.xlsx,Commerce,Ozimate Ltd.,f.rousset@ozimate.com,2302433443; 23024334432433400; 2433400,Mount S.E.,Mr. Francois Rousset - Director,,http://f.rousset@ozimate.com; http://s.e
BASE DE DONNEES sans doublons.xlsx,Commerce,Panagora Marketing Co. Ltd.,panagora@eclosia.com,2306018300,Zone Industrielle,Mr. Junaid Muslun - General Manager,,http://eclosia.com; http://www.panagora.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Pick and Buy Ltd. (Winner's),customerservice@winners.mu,2304602000; 2304713142,Winners Head Office,Mr. Aldo Letimier - Chief Operating Officer,,http://winners.mu; http://www.winners.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,PNL,ddarifat@pnl.mu,2302064500; 2302064501,P.O. Box 444,Mr. Daniel dÁrifat - Chief Executive Officer,,http://p.o; http://pnl.mu; http://www.pnl.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Proxifresh Co. Ltd.,bryan@proxifresh.com,2302600163,Industrial Zone,Mr. Yan Mayer - Managing Director,,http://proxifresh.com; http://www.proxifresh.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Raffray Brothers & Co. Ltd.,rabco@raffraybrothers.mu,2302860221; 2302860331; 2302866000,Grewals Lane,Mr. Mathieu Lionnet - General Manager,,http://raffraybrothers.mu; http://www.raffraybrothers.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Ravesh Coomar Ramdin,raveshramdin98@gmail.com,23052508305; 52508305,Avenue des Cardinaux,Mr. Ravesh Coomar Ramdin - Director,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Relaxon Ltd.,relaxon3@gmail.com,2306974159; 2306974161,Indistrial Zone,Mr. Salahudin Suhotoo - Managing Director,,http://gmail.com; http://www.relaxongroups.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Rentacolor (Mauritius) Ltd.,rentacol@intnet.mu,2302862051; 2302864207,P.O. Box 655 - Bell Village,Mr. Bertrand Hardy - Director,,http://intnet.mu; http://p.o; http://www.rentacolormauritius.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Rey & Lenferna Ltd.,marketing@reylenferna.com,2302034400; 2302089876,P.O. Box 680,Mr. Paul Ah Leung - Chief Executive Officer,,http://p.o; http://reylenferna.com; http://www.reylenferna.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Reynaud Les Halles Ltd.,ameydi.pillaiy@rno.fr,2304605800,Socota Phoenicia Business Park,,,http://ameydi.pillaiy@rno.fr
BASE DE DONNEES sans doublons.xlsx,Commerce,Robert Yip Tong Enterprises & Co. Ltd. (Kawai Music Centre),ryte@intnet.mu,2302428629; 2306964538,Morcellement Boucan,Mr. Robert Yip Tong - Company Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Rogers & Co. Ltd.,joyce.honpin@enlrogers.com,2304049500,ENL House,Mr. Philippe Espitalier Noël - Chief Executive,,http://joyce.honpin@enlrogers.com; http://www.rogers.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Royal Agri Harvest International Co. Ltd.,rahicompanyltd0103@gmail.com,23058314283; 58314283,7 Lys Avenue,Mr. Yudish Chuckowree - Director,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,S K C Surat & Co. Ltd.,imports@surat.mu,2302080631; 2302123247; 2306706700; 2306706706,B 6 Road,Mr. Shyam Kumar Chandradev Surat - Executive Chairman,,http://http//www.surat.mu; http://surat.mu; http://www.surat.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,S K R Communications Ltd.,skrcom@intnet.mu,2304275454; 2304275455; 2304277500,nan,Mr. Sanjiv Kailash Ramdanee - Managing Director,,http://intnet.mu; http://www.skr.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Sahara Summit Distribution Ltd.,saharasummitdistribution@gmail.com,2302183901,65B,Mr. Muhammad Safdar Ali Sahabooleea - Director,,http://gmail.com; http://www.aromadzil.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,SCOMAT Ltée.,scomat@scomat.com,2302060440; 2302060444,Grewals Lane,Mr. Emmanuel André - General Manager,,http://scomat.com; http://www.scomat.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Scott & Co. Ltd.,scott.admin@scott .mu,2302069400; 2302489401,Industrial Park 1,Mr. Matthew Taylor - Chief Executive Officer,,http://scott.admin@scott; http://www.scott.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Siebel Enterprise Ltd.,sramjatun@siebel-enterprise.com,2304551700; 2304551800; 23045518001700,25 Trotter Street,Mr. Sachin Ramjatun - Managing Director,,http://siebel-enterprise.com; http://www.siebel-enterprise.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Sik Yuen Ltd.,jeanmarc.sikyuen@sikyuen.mu,2306762429; 2306767070,nan,Mr. Jean Marc Tzoun Tek Yeung Sik Yuen - Chief Executive Officer,,http://jeanmarc.sikyuen@sikyuen.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Soc. Mohammud Haujee & Sons,haujee@intnet.mu,2302420433; 230242043323057649954; 57649954,nan,Mr. Tadjammul Hussein Haujee - Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Societe Industrielle de Representation Universelle et de Distribution Ltee.,sirud@intnet.mu,2302860585; 2302869090,Cemetry Road,Ms. Ishtiba Meeajane - Director,,http://intnet.mu; http://www.sirud.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Somags Ltee.,gessen.veeraragoo@gbh.fr,2302069300; 2302484400; 2306964097; 2306971990,Avenue Sivananda,Mr. Pierre Yves Martin - Chief Executive Director,,http://gessen.veeraragoo@gbh.fr
BASE DE DONNEES sans doublons.xlsx,Commerce,Sonvigo International Ltd.,nazia@sonvigointernational.com,2302166840; 2304058839,Felix House,Ms. Kathleen Lai - Director,,http://sonvigointernational.com; http://www.sonvigointernational.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Sotracom Ltée.,info@sotracom.mu,2302108026; 2302108027,Montebello,Mr. Richard Ng - General Manager,,http://sotracom.mu; http://www.sotramongroup.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Suchem Ltd. (Member of Harel Mallac Group),suchem@ingenia.mu,2302149443; 2302603341; 2302711800; 23027118002302603341,Chaussée Tromelin,Mr. Nicolas Langlois - General Manager,,http://ingenia.mu; ingenia.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Suntricity Co. Ltd.,ninder@suntricity.mu,23058552520; 58552520,ENLC,Mr. Eric Espitalier-Noël - Chief Executive Officer,,http://suntricity.mu; http://www.suntricity.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Superdist Ltd.,bhim_bissessur@hiperdist.com,2302869006; 2302869048,Anse Courtois,Mr. Bhim Bissessur - Finance and Administrative Manager,,http://hiperdist.com; https://hiperdist-io.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Tea Blenders Ltd.,info@tblqualitybrands.com,2302616234; 2302616474,Solitude Industrial Estate,Mr. Roland Hein de Charmoy - Managing Director,,http://tblqualitybrands.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Tectonic Ltd.,tectonic@intnet.mu,2302106605; 2302106610,48 Mere Barthelemy Street,Mr. Azad Dookhit - Managing Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Tek International Ltd.,tekint@intnet.mu,2302162771; 2302423844,47 Seeneevassen Street,Mr. Pierre Wong Tek Kong - Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,TheBrandHouse Ltd.,info@thebrandhouse.mu,2302071700; 2302492764,Industrial Park 1,Mr. Clovis Wong - Chief Executive Officer,,http://thebrandhouse.mu; http://www.thebrandhouse.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,TNS Tobacco Co. Ltd.,omamet@tnsltd.net,2302481939; 23054987889,Hermes House,Mr. Oscar Mamet - Chief Executive Officer,,http://tnsltd.net
BASE DE DONNEES sans doublons.xlsx,Commerce,TotalEnergies Marketing Mauritius Ltd.,frederic.riviere@totalenergies.com,2302075602; 2302075697,Chaussee Tromelin,Mr. Frédéric Rivière - Managing Director,,http://frederic.riviere@totalenergies.com; https://services.totalenergies.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Toyota (Mauritius) Ltd.,info@toyotamauritius.com,2302493065; 2304056400,Motorway,Mr. Arvind Issur - Managing Director,,http://toyotamauritius.com; http://www.toyotamauritius.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Udis Ltée.,admin@superu.mu,2302630502; 2302630503,La Salette Road,Mr. Jean Pascal Tsin Sa Ah Vi - Chief Executive Officer,,http://superu.mu; http://www.superu.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Universal Development Corp. (Pty) Ltd.,udc@intnet.mu,2304660888; 2304679858; 2304679859,No. 34 Epingle Street,Mr. H. Philippe Le Vieux - Director,,http://http//www.udc-ltd.com; http://intnet.mu; http://www.udc-ltd.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Urban Cooling Ltd.,vincent.ng@sotravic.net,23057727427,La Tour Koenig Industrial Zone,Mr. Philippe Ong Seng - Project Manager,,http://vincent.ng@sotravic.net; http://www.sotravic.net/
BASE DE DONNEES sans doublons.xlsx,Commerce,Vivo Energy Mauritius Ltd.,belinda.teeroovengadum@vivoenergy.com,2302061234; 2302401043,P.O. Box 85,Mr. Fouad Khfifi - Managing Director,,http://belinda.teeroovengadum@vivoenergy.com; http://p.o; http://www.vivoenergy.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Wendover Retail Co. Ltd.,mgopal@intnet.mu,2302127194; 2302130607,Dior Round About,Mr. Mookeshwarsing Gopal - Managing Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Woolworths Mauritius Ltd.,generalmanagermauritius@woolworths.co.za,2304046091,The Cubicle,Mrs. Elizabeth Magwaba - General Manager,,http://woolworths.co.za
BASE DE DONNEES sans doublons.xlsx,Commerce,Yiptong & Sons Ltd.,cgd@yiptong.mu; patrick@yiptong.mu,230212332627; 2302123348,Yip Tong House,Mr. Patrick Yip Tong - General Manager,,http://p.o; http://www.yiptong.mu/; http://yiptong.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Young Bros (Plastics) Co. Ltd.,youngbro@intnet.mu,2302472110; 2302472114; 2302472156,Pailles en Queue Road,Mr. Laval Nu Nam Young - Managing Director,,http://intnet.mu; http://www.youngbrosltd.com/
BASE DE DONNEES sans doublons.xlsx,Financial Services,Absa Bank (Mauritius) Ltd.,ravin.dajee@absa.africa,2304021000; 2304654806,4th Floor,Mr. Ravin Dajee - Managing Director,,http://ravin.dajee@absa.africa; http://www.absabank.mu/
BASE DE DONNEES sans doublons.xlsx,Financial Services,Accuance Ltd.,roomiza@accuanceltd.com,23052525459,M5 Mezzanine Floor,Mrs. Roomiza Hasan Miyan - Chief Executive,,http://accuanceltd.com; http://www.accuanceltd.com/
BASE DE DONNEES sans doublons.xlsx,Financial Services,Allfinanz Consulting Ltd.,allfinanz@intnet.mu,2302089360; 2302105209; 2302128516,2nd Floor,Mr. Osman Ramdin - Managing Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Financial Services,Aronson Associates Co. Ltd.,director@aronsonassociates.net,23059441314,Block B,Mr. Dharmaraj Ippili Appiah - Director,,http://aronsonassociates.net; http://www.aronsonassociates.com/
BASE DE DONNEES sans doublons.xlsx,Financial Services,Bank One Ltd.,info@bankone.mu,2302029200; 2302128883,nan,Mr. Sunil Ramgobin - Chief Executive Officer,,http://bankone.mu; http://www.bankone.mu/
BASE DE DONNEES sans doublons.xlsx,Financial Services,Banque Patronus,,2304904125,Africa F1 Place 3rd Floor,Mr. Terrance Kumara Lokugamhewage - Ag. Chief Executive Officer,,http://www.banquepatronus.com/
BASE DE DONNEES sans doublons.xlsx,Financial Services,BCP Bank (Mauritius) Ltd.,sdaby@bcpbank.mu,2302078700; 2304681828,Maeva Tower,Mr. Shakil Daby - Director Corporate & Institutional Banking,,http://bcpbank.mu; http://www.bcpbank.mu/
BASE DE DONNEES sans doublons.xlsx,Industry,Les Moulins de La Concorde Ltee.,lmlc@eclosia.com,2302179100; 2302408171,Cargo Peninsula,Mr.Julien Audibert - General Manager,,http://eclosia.com; http://mr.julien; http://www.eclosia.com:; http://www.lesmoulinsdelaconcorde.com; www.eclosia.com: www.lesmoulinsdelaconcorde.com
BASE DE DONNEES sans doublons.xlsx,Industry,Livestock Feed Ltd.,rforget.lfl@eclosia.com,2302861112; 2302861114,Claude Delaitre Road,Mr. Rocky Forget - Managing Director,,http://rforget.lfl@eclosia.com; http://www.lfl.mu/
BASE DE DONNEES sans doublons.xlsx,Industry,Magilyn Ltee.,magilyndirector@myt.mu,2302110361; 23052537838,6th Floor,"Mrs. Lynda Kok Shun, OSK - Managing Director",,http://myt.mu
BASE DE DONNEES sans doublons.xlsx,Industry,Maurilait Production Ltee.,accueil.maurilait@eclosia.com,2306972080; 2306972203,Industrial Zone,Mr. Olivier Zuël - General Manager,,http://accueil.maurilait@eclosia.com; http://www.maurilait.com/
BASE DE DONNEES sans doublons.xlsx,Industry,Mauristea Investment Co. Ltd.,kuanfuhailun@sina.com,2302411263; 2302424511,Marine Road,Mr. Kuanfu Hailun - President,,http://sina.com
BASE DE DONNEES sans doublons.xlsx,Industry,Mauritius Chemical & Fertilizer Industry Ltd.,customerservice@mcfi.mu,2302163965; 2302409969,P.O. Box 344,Mr. Yannis Fayd'herbe - Managing Director,,http://mcfi.mu; http://p.o; http://www.mcfi.mu/
