company_name,industry,country,city,email,phone,website,source,sector_raw,sector_group
Martello Asset Management Mauritius Limited,Financial Services - Other,Mauritius,,ag@martello.mu,+230 483 9302,ag@martello.mu,mauritius_ifc_directory,,Financial Services - Other
Maubank Ltd,Financial Services - Other,Mauritius,,info@maubank.mu,+(230) 405 9400,info@maubank.mu,mauritius_ifc_directory,,Financial Services - Other
Mauri Experta Ltd,Financial Services - Other,Mauritius,,info@mauriexperta.com,+230 466 6100,info@mauriexperta.com,mauritius_ifc_directory,,Financial Services - Other
Mauritius Commercial Bank Ltd,Financial Services - Other,Mauritius,,mcb@mcb.co.mu,+(230) 202 5000,mcb@mcb.co.mu,mauritius_ifc_directory,,Financial Services - Other
Mondial Management Services Ltd,Financial Services - Other,Mauritius,,info@mondialmanagement.com,+230 460 0989,info@mondialmanagement.com,mauritius_ifc_directory,,Financial Services - Other
National Insurance Co. Ltd,Financial Services - Other,Mauritius,,customerservice@nicl.mu,+230 602 3000,customerservice@nicl.mu,mauritius_ifc_directory,,Financial Services - Other
Nexus Global Financial Services Limited,Financial Services - Other,Mauritius,,info@nexusgfs.com,(+230) 468 7800,info@nexusgfs.com,mauritius_ifc_directory,,Financial Services - Other
NIC General Insurance Co. Ltd,Financial Services - Other,Mauritius,,customerservice@nicl.mu,+230 602 3000,customerservice@nicl.mu,mauritius_ifc_directory,,Financial Services - Other
NWT (Mauritius) Ltd,Financial Services - Other,Mauritius,,nwtm@axys-group.com,(230) 405 4000,nwtm@axys-group.com,mauritius_ifc_directory,,Financial Services - Other
Oak Management (mauritius) Limited,Financial Services - Other,Mauritius,,JWoodward@oak.group,+230 4013200,,mauritius_ifc_directory,,Financial Services - Other
Ocorian Corporate Services,Financial Services - Other,Mauritius,,contact-us@ocorian.com,230 403 6000,contact-us@ocorian.com,mauritius_ifc_directory,,Financial Services - Other
Odyssey Investment Fund,Financial Services - Other,Mauritius,,team@odysseyinvestmentfund.com,(230) 2671946,team@odysseyinvestmentfund.com,mauritius_ifc_directory,,Financial Services - Other
Open Skies Management Services Ltd,Financial Services - Other,Mauritius,,support@openskies.co,+230 468 1044,http://www.openskies.co/,mauritius_ifc_directory,,Financial Services - Other
Perigeum Capital Ltd,Financial Services - Other,Mauritius,,info@perigeum.mu,(230) 4020890,info@perigeum.mu,mauritius_ifc_directory,,Financial Services - Other
PraxisIFM Management (Mauritius) Limited,Financial Services - Other,Mauritius,,info@praxisIFM.mu,+230 403 4140,info@praxisIFM.mu,mauritius_ifc_directory,,Financial Services - Other
Premier Financial Services Limited,Financial Services - Other,Mauritius,,contact@premier.mu,+230 2456703,contact@premier.mu,mauritius_ifc_directory,,Financial Services - Other
PwC Mauritius,Financial Services - Other,Mauritius,,ariane.serret@pwc.com,(230) 404 5000,ariane.serret@pwc.com,mauritius_ifc_directory,,Financial Services - Other
Rogers Capital Corporate Services,Financial Services - Other,Mauritius,,contact@rogerscapital.mu,(230) 203 1100,contact@rogerscapital.mu,mauritius_ifc_directory,,Financial Services - Other
Rosemont Management (Mauritius) Ltd,Financial Services - Other,Mauritius,,c.hoodman@rosemont.mu,+230 460 06 82,c.hoodman@rosemont.mu,mauritius_ifc_directory,,Financial Services - Other
Sab&T International Financial Consulting Ltd,Financial Services - Other,Mauritius,,info@sabt-ifc.com,(230) 4541133 /4633551,info@sabt-ifc.com,mauritius_ifc_directory,,Financial Services - Other
Safyr Utilis,Financial Services - Other,Mauritius,,info@syul.mu,+230 403 4250,info@syul.mu,mauritius_ifc_directory,,Financial Services - Other
Sanlam General Insurance Ltd,Financial Services - Other,Mauritius,,contact@mu.sanlam.com,+230 213 4477 / +230 213 5577,contact@mu.sanlam.com,mauritius_ifc_directory,,Financial Services - Other
Sanne Mauritius,Financial Services - Other,Mauritius,,Peter.Nagle@sannegroup.com,(230) 467 3000,Peter.Nagle@sannegroup.com,mauritius_ifc_directory,,Financial Services - Other
SBI (Mauritius) Ltd,Financial Services - Other,Mauritius,,info@sbimauritius.com,+(230) 203 4913,info@sbimauritius.com,mauritius_ifc_directory,,Financial Services - Other
SBM Bank (Mauritius) Ltd,Financial Services - Other,Mauritius,,sbm@sbmgroup.mu,+(230) 202 1111,sbm@sbmgroup.mu,mauritius_ifc_directory,,Financial Services - Other
Sphere Management (Mauritius) Limited,Financial Services - Other,Mauritius,,bd@sphere-management.com,+230 460 0477/ +23059414822,bd@sphere-management.com,mauritius_ifc_directory,,Financial Services - Other
Standard Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,clientservices@standardbank.mu,+(230) 402 5000,clientservices@standardbank.mu,mauritius_ifc_directory,,Financial Services - Other
Standard Chartered Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,info.scbm@sc.com,+(230) 403 6500,info.scbm@sc.com,mauritius_ifc_directory,,Financial Services - Other
Stock Exchange of Mauritius,Financial Services - Other,Mauritius,,stockweb@sem.intnet.mu,(230) 2129541,stockweb@sem.intnet.mu,mauritius_ifc_directory,,Financial Services - Other
StraFin Corporate Services Ltd,Financial Services - Other,Mauritius,,bd@strafincorporate.com,+230 460 29 29,bd@strafincorporate.com,mauritius_ifc_directory,,Financial Services - Other
Strategia Investment Solutions Ltd,Financial Services - Other,Mauritius,,info@strategia-investment.com,468 8411,info@strategia-investment.com,mauritius_ifc_directory,,Financial Services - Other
Sunibel Corporate Services Ltd,Financial Services - Other,Mauritius,,info@sunibel.mu,+230 263 29 29 /+230 460 00 50,info@sunibel.mu,mauritius_ifc_directory,,Financial Services - Other
Swan,Financial Services - Other,Mauritius,,info@swanforlife.com,+230 207 3500,info@swanforlife.com,mauritius_ifc_directory,,Financial Services - Other
The Economic Development Board (EDB),Financial Services - Other,Mauritius,,contact@edbmauritius.org,+230 203 3800,https://www.edbmauritius.org/,mauritius_ifc_directory,,Financial Services - Other
TMF Mauritius Limited,Financial Services - Other,Mauritius,,mauritius@tmf-group.com,+230 464 5995,mauritius@tmf-group.com,mauritius_ifc_directory,,Financial Services - Other
Toukan Corporate Services Limited,Financial Services - Other,Mauritius,,business@toukanservices.com,(230) 4546030,business@toukanservices.com,mauritius_ifc_directory,,Financial Services - Other
Tri-Pro Administrators Ltd,Financial Services - Other,Mauritius,,services@tripro.mu,(230) 4640889,services@tripro.mu,mauritius_ifc_directory,,Financial Services - Other
Venture Corporate Services (Mauritius) Limited,Financial Services - Other,Mauritius,,office@venturecorporateltd.com,+230 404 9902,office@venturecorporateltd.com,mauritius_ifc_directory,,Financial Services - Other
Venture Law,Financial Services - Other,Mauritius,,office@venturelawltd.com,+230 404 9900,office@venturelawltd.com,mauritius_ifc_directory,,Financial Services - Other
Victoria Capital Management (Mauritius) Ltd,Financial Services - Other,Mauritius,,info@victoriacapitalmanagement.org,(230) 2671946,http://www.victoriacapitalmanagement.org/,mauritius_ifc_directory,,Financial Services - Other
Warwyck Private Bank Ltd,Financial Services - Other,Mauritius,,contact@warwyckprivatebank.com,+230 698 2700,contact@warwyckprivatebank.com,mauritius_ifc_directory,,Financial Services - Other
